,poi_x,poi_y,poi_name,poi_area,place_name
273,-8856737.911601905,4375772.681683311,A.E. Crookes Park,26865.069361833925,Mississauga
274,-8860954.186530884,4375560.183913948,Mary Fix Park,26745.987514539433,Mississauga
275,-8864744.085690366,4388661.06507835,Albert McBride Park,26735.116014693092,Mississauga
276,-8867690.03091801,4375396.733976087,Ellengale Public School,26731.083467235927,Mississauga
277,-8872204.11030324,4373536.6239004815,Glen Erin Trail Park,26684.222600756104,Mississauga
278,-8869155.38945363,4376852.591215336,St. Bernadette Elementary School,26466.997803298473,Mississauga
279,-8879136.416701114,4375316.369445832,Osprey Woods Public School,26329.53358305365,Mississauga
280,-8872447.419998275,4375434.021791464,Forest Hill Park,26034.190161683684,Mississauga
281,-8860793.825898563,4380041.017056202,Gulleden Park,25818.87101482023,Mississauga
282,-8868073.76291595,4378465.271019709,Greyshale Park,25785.608412584468,Mississauga
283,-8865066.725281514,4377113.588656988,Bishop Scalabrini School,25773.406616826032,Mississauga
284,-8857574.169403816,4378646.386073551,Laughton Heights Park,25726.53491528182,Mississauga
285,-8867469.478582902,4378078.772012729,Huntington Ridge Public School,25665.80668703362,Mississauga
286,-8873265.157447165,4372882.304233764,All Saints Seperate School,25571.568463258558,Mississauga
287,-8876130.521872815,4374138.002100192,St. Bernard of Clairvaux Catholic Elementary School,25549.108085366173,Mississauga
288,-8873461.551705744,4377678.88784952,Our Lady of Good Voyage Catholic School,25416.155456911554,Mississauga
289,-8872948.177822374,4378850.955976412,Britannia Public School,25406.130919992,Mississauga
290,-8860980.989841033,4379752.520042524,Kennedy Park,25378.54388841198,Mississauga
291,-8863581.833604895,4378171.603136796,The Valleys Senior Public School,25244.11300488677,Mississauga
292,-8861653.28700882,4374042.132793276,St. Luke Catholic Elementary School,25199.899656708454,Mississauga
293,-8870211.943238413,4384397.77746662,Mount Charles Park,25114.90125045172,Mississauga
294,-8859703.775972193,4379933.269117245,Burnhamdale Park,25034.81196695038,Mississauga
295,-8863340.408524469,4378399.283290557,Greenfield Park,24937.1039433314,Mississauga
296,-8865916.968782904,4376591.640097396,City View Park,24933.854985672453,Mississauga
297,-8871612.831735913,4372230.237044387,Christ The King Catholic School,24819.78628267195,Mississauga
298,-8879995.21274844,4375407.552845725,Cordingley Park,24810.316030473918,Mississauga
299,-8879916.855473256,4375523.041320055,St. Simon Stock Elementary School,24797.551542781213,Mississauga
300,-8877331.600395584,4380292.631956266,St. Barbara Elementary School,24648.862967645688,Mississauga
301,-8867776.135112096,4372308.029727408,Sheridan Park,24611.5746040715,Mississauga
302,-8869905.250783315,4374489.230875757,Sawmill Valley Public School,24581.41046850428,Mississauga
303,-8871424.759794623,4372211.322579884,Garthwood Park Public School,24577.591655107342,Mississauga
304,-8878694.776745375,4375603.546434423,St. Edith Stein Elementary School,24529.796353572703,Mississauga
305,-8864763.436628576,4373547.623194526,Oakridge Public School,24514.149453741516,Mississauga
306,-8874674.899991814,4373551.259955828,St. Sebastian Catholic Elementary School,24458.530169499667,Mississauga
307,-8879322.400746536,4376615.181809982,Edenwood Middle School,24449.49009266325,Mississauga
308,-8875916.5907636,4374347.5488603925,McKinnon Public School,24430.988900895925,Mississauga
309,-8870661.283836327,4374645.832708278,Trapper's Green,24355.200436418327,Mississauga
310,-8863499.39124776,4371374.561765332,Clarkson Public School,24339.781045026673,Mississauga
311,-8878934.80292011,4377819.85757556,Maple Wood Public School,24275.34762911946,Mississauga
312,-8877770.79793174,4374867.193682046,St. Faustina Elementary School,24272.007418047197,Mississauga
313,-8864363.1277741,4376890.579441262,Fairview Park,24222.005771206936,Mississauga
314,-8865817.154214943,4379013.639842268,St. Pio of Pietrelcina Elementary School,24185.684736828647,Mississauga
315,-8875161.906890221,4374229.03872658,Jim Murray Community Park,24171.623624571715,Mississauga
